id,page,series,name,is_secret,db_image_page,db_x,db_y,mapped_asset_path,mapped_catalog_series,mapped_catalog_name,mapped_source,identity_status,manifest_image_url,manifest_page_url
page-10-13-chipmunk,10,Animal Series Ver. 1,Chipmunk,YES,./assets/pages/page-010.png,1025,543,sonny_png_library/regulars/animal-collections/animal-series-1/13__chipmunk.png,Animal Series 1,Chipmunk,official-web,MATCHED,,
page-10-03-cockerel,10,Animal Series Ver. 1,Cockerel,,./assets/pages/page-010.png,675,152,sonny_png_library/regulars/animal-collections/animal-series-1/07__cockerel.png,Animal Series 1,Cockerel,official-web,MATCHED,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_cockerel_01-1.jpg,https://www.sonnyangel.com/products/
page-10-04-dalmatian,10,Animal Series Ver. 1,Dalmatian,,./assets/pages/page-010.png,820,152,sonny_png_library/regulars/animal-collections/animal-series-1/08__dalmatian.png,Animal Series 1,Dalmatian,official-web,MATCHED,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_dalmatian_01-1.jpg,https://www.sonnyangel.com/products/
page-10-02-elephant,10,Animal Series Ver. 1,Elephant,,./assets/pages/page-010.png,470,152,sonny_png_library/regulars/animal-collections/animal-series-1/02__elephant.png,Animal Series 1,Elephant,official-web,MATCHED,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_elephant_01-1.jpg,https://www.sonnyangel.com/products/
page-10-05-frog,10,Animal Series Ver. 1,Frog,,./assets/pages/page-010.png,985,152,sonny_png_library/regulars/animal-collections/animal-series-1/09__frog.png,Animal Series 1,Frog,official-web,MATCHED,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_frog_01-1.jpg,https://www.sonnyangel.com/products/
page-10-06-koala,10,Animal Series Ver. 1,Koala,,./assets/pages/page-010.png,1122,152,sonny_png_library/regulars/animal-collections/animal-series-1/10__koala.png,Animal Series 1,Koala,official-web,MATCHED,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_koala_01-1.jpg,https://www.sonnyangel.com/products/
page-10-11-monkey,10,Animal Series Ver. 1,Monkey,,./assets/pages/page-010.png,705,543,sonny_png_library/regulars/animal-collections/animal-series-1/11__monkey.png,Animal Series 1,Monkey,official-web,MATCHED,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_monkey_01-1.jpg,https://www.sonnyangel.com/products/
page-10-12-owl,10,Animal Series Ver. 1,Owl,,./assets/pages/page-010.png,865,543,sonny_png_library/regulars/animal-collections/animal-series-1/12__owl.png,Animal Series 1,Owl,official-web,MATCHED,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_owl_01-1.jpg,https://www.sonnyangel.com/products/
page-10-07-panda,10,Animal Series Ver. 1,Panda,,./assets/pages/page-010.png,90,543,sonny_png_library/regulars/animal-collections/animal-series-1/03__panda.png,Animal Series 1,Panda,official-web,MATCHED,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_panda_01-1.jpg,https://www.sonnyangel.com/products/
page-10-01-rabbit,10,Animal Series Ver. 1,Rabbit,,./assets/pages/page-010.png,330,152,sonny_png_library/regulars/animal-collections/animal-series-1/01__rabbit.png,Animal Series 1,Rabbit,official-web,MATCHED,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_rabbit_01-1.jpg,https://www.sonnyangel.com/products/
