id,page,local_series,official_series,local_name,official_name,exact_name_match,normalized_name_match,exact_series_match,normalized_series_match,page_url,image_url
page-10-03-cockerel,10,Animal Series Ver. 1,Animal Series 1,Cockerel,Cockerel,True,True,False,False,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_cockerel_01-1.jpg
page-10-04-dalmatian,10,Animal Series Ver. 1,Animal Series 1,Dalmatian,Dalmatian,True,True,False,False,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_dalmatian_01-1.jpg
page-10-02-elephant,10,Animal Series Ver. 1,Animal Series 1,Elephant,Elephant,True,True,False,False,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_elephant_01-1.jpg
page-10-05-frog,10,Animal Series Ver. 1,Animal Series 1,Frog,Frog,True,True,False,False,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_frog_01-1.jpg
page-10-06-koala,10,Animal Series Ver. 1,Animal Series 1,Koala,Koala,True,True,False,False,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_koala_01-1.jpg
page-10-11-monkey,10,Animal Series Ver. 1,Animal Series 1,Monkey,Monkey,True,True,False,False,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_monkey_01-1.jpg
page-10-12-owl,10,Animal Series Ver. 1,Animal Series 1,Owl,Owl,True,True,False,False,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_owl_01-1.jpg
page-10-07-panda,10,Animal Series Ver. 1,Animal Series 1,Panda,Panda,True,True,False,False,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_panda_01-1.jpg
page-10-01-rabbit,10,Animal Series Ver. 1,Animal Series 1,Rabbit,Rabbit,True,True,False,False,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_rabbit_01-1.jpg
page-10-08-sloth,10,Animal Series Ver. 1,Animal Series 1,Sloth,Sloth,True,True,False,False,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_sloth_01-1.jpg
page-10-09-tiger,10,Animal Series Ver. 1,Animal Series 1,Tiger,Tiger,True,True,False,False,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_tiger_01-1.jpg
page-10-10-white-bear,10,Animal Series Ver. 1,Animal Series 1,White Bear,White Bear,True,True,False,False,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_whitebear_01-1.jpg
page-11-03-chameleon,11,Animal Series Ver. 2,Animal Series 2,Chameleon,Chameleon,True,True,False,False,https://www.sonnyangel.com/products/,https://www.sonnyangel.com/renewal/wp-content/uploads/2018/10/new_cameleon_01-1.jpg
