official_series,official_name_count,local_series,local_name_count,overlap_count,overlap_ratio,overlap_names,official_names_missing_from_local
Advent Calendar(2025),11,11th Anniversary Series,14,4,0.364,"fawn, lion, rabbit, starfish","candy, carrot, frenchbulldog, penguin, reindeer, rose, sunflower"
Advent Calendar(2025),11,12th Anniversary Series,14,3,0.273,"fawn, rabbit, rose","candy, carrot, frenchbulldog, lion, penguin, reindeer, starfish, sunflower"
Advent Calendar(2025),11,Christmas Dinner Series,8,3,0.273,"carrot, lion, reindeer","candy, fawn, frenchbulldog, penguin, rabbit, rose, starfish, sunflower"
Advent Calendar(2025),11,Hippers Animal Series,13,3,0.273,"fawn, lion, rabbit","candy, carrot, frenchbulldog, penguin, reindeer, rose, starfish, sunflower"
Advent Calendar(2025),11,Hippers Dreaming Series,13,3,0.273,"fawn, lion, rabbit","candy, carrot, frenchbulldog, penguin, reindeer, rose, starfish, sunflower"
Animal Series 1 (~2018),9,Animal Series Ver. 1,14,9,1.000,"cockerel, dalmatian, elephant, frog, koala, monkey, panda, rabbit, tiger",
Animal Series 1 (~2018),9,Animal Series Ver. 1 Special Color,13,9,1.000,"cockerel, dalmatian, elephant, frog, koala, monkey, panda, rabbit, tiger",
Animal Series 1 (~2018),9,Unrefined Animal Series Ver. 1,14,9,1.000,"cockerel, dalmatian, elephant, frog, koala, monkey, panda, rabbit, tiger",
Animal Series 1 (~2018),9,Decoppin Animal Series Ver. 1,13,8,0.889,"cockerel, elephant, frog, koala, monkey, panda, rabbit, tiger",dalmatian
Animal Series 1 (~2018),9,Mini Figure Strap Animal Version,6,6,0.667,"elephant, frog, monkey, panda, rabbit, tiger","cockerel, dalmatian, koala"
Animal Series 2 (~2018),8,Animal Series Ver. 2,14,8,1.000,"cow, fawn, lesserpanda, mouse, pig, reindeer, sheep, uribou",
Animal Series 2 (~2018),8,Animal Series Ver. 2 Special Color,13,8,1.000,"cow, fawn, lesserpanda, mouse, pig, reindeer, sheep, uribou",
