output_path,top_folder,collection_folder,series,name,page,source_page_image
sonny_png_library/regulars/animal-collections/animal-series-ver-1/01__rabbit__page-010.png,regulars,animal-collections,Animal Series Ver. 1,Rabbit,10,./assets/pages/page-010.png
sonny_png_library/regulars/animal-collections/animal-series-ver-1/02__elephant__page-010.png,regulars,animal-collections,Animal Series Ver. 1,Elephant,10,./assets/pages/page-010.png
sonny_png_library/regulars/animal-collections/animal-series-ver-1/03__cockerel__page-010.png,regulars,animal-collections,Animal Series Ver. 1,Cockerel,10,./assets/pages/page-010.png
sonny_png_library/regulars/animal-collections/animal-series-ver-1/04__dalmatian__page-010.png,regulars,animal-collections,Animal Series Ver. 1,Dalmatian,10,./assets/pages/page-010.png
sonny_png_library/regulars/animal-collections/animal-series-ver-1/05__frog__page-010.png,regulars,animal-collections,Animal Series Ver. 1,Frog,10,./assets/pages/page-010.png
sonny_png_library/regulars/animal-collections/animal-series-ver-1/06__koala__page-010.png,regulars,animal-collections,Animal Series Ver. 1,Koala,10,./assets/pages/page-010.png
sonny_png_library/regulars/animal-collections/animal-series-ver-1/07__panda__page-010.png,regulars,animal-collections,Animal Series Ver. 1,Panda,10,./assets/pages/page-010.png
sonny_png_library/regulars/animal-collections/animal-series-ver-1/08__sloth__page-010.png,regulars,animal-collections,Animal Series Ver. 1,Sloth,10,./assets/pages/page-010.png
sonny_png_library/regulars/animal-collections/animal-series-ver-1/09__tiger__page-010.png,regulars,animal-collections,Animal Series Ver. 1,Tiger,10,./assets/pages/page-010.png
sonny_png_library/regulars/animal-collections/animal-series-ver-1/10__white-bear__page-010.png,regulars,animal-collections,Animal Series Ver. 1,White Bear,10,./assets/pages/page-010.png
sonny_png_library/regulars/animal-collections/animal-series-ver-1/11__monkey__page-010.png,regulars,animal-collections,Animal Series Ver. 1,Monkey,10,./assets/pages/page-010.png
sonny_png_library/regulars/animal-collections/animal-series-ver-1/12__owl__page-010.png,regulars,animal-collections,Animal Series Ver. 1,Owl,10,./assets/pages/page-010.png
sonny_png_library/regulars/animal-collections/animal-series-ver-1/13__chipmunk__page-010.png,regulars,animal-collections,Animal Series Ver. 1,Chipmunk,10,./assets/pages/page-010.png
sonny_png_library/regulars/animal-collections/animal-series-ver-1/14__robby-angel__page-010.png,regulars,animal-collections,Animal Series Ver. 1,Robby Angel,10,./assets/pages/page-010.png
sonny_png_library/regulars/animal-collections/animal-series-ver-2/01__mouse__page-011.png,regulars,animal-collections,Animal Series Ver. 2,Mouse,11,./assets/pages/page-011.png
sonny_png_library/regulars/animal-collections/animal-series-ver-2/02__lesser-panda__page-011.png,regulars,animal-collections,Animal Series Ver. 2,Lesser Panda,11,./assets/pages/page-011.png
sonny_png_library/regulars/animal-collections/animal-series-ver-2/03__chameleon__page-011.png,regulars,animal-collections,Animal Series Ver. 2,Chameleon,11,./assets/pages/page-011.png
sonny_png_library/regulars/animal-collections/animal-series-ver-2/04__uribou__page-011.png,regulars,animal-collections,Animal Series Ver. 2,Uribou,11,./assets/pages/page-011.png
sonny_png_library/regulars/animal-collections/animal-series-ver-2/05__skunk__page-011.png,regulars,animal-collections,Animal Series Ver. 2,Skunk,11,./assets/pages/page-011.png
sonny_png_library/regulars/animal-collections/animal-series-ver-2/06__sheep__page-011.png,regulars,animal-collections,Animal Series Ver. 2,Sheep,11,./assets/pages/page-011.png
sonny_png_library/regulars/animal-collections/animal-series-ver-2/07__hedgehog__page-011.png,regulars,animal-collections,Animal Series Ver. 2,Hedgehog,11,./assets/pages/page-011.png
sonny_png_library/regulars/animal-collections/animal-series-ver-2/08__fawn__page-011.png,regulars,animal-collections,Animal Series Ver. 2,Fawn,11,./assets/pages/page-011.png
sonny_png_library/regulars/animal-collections/animal-series-ver-2/09__duck__page-011.png,regulars,animal-collections,Animal Series Ver. 2,Duck,11,./assets/pages/page-011.png
sonny_png_library/regulars/animal-collections/animal-series-ver-2/10__cow__page-011.png,regulars,animal-collections,Animal Series Ver. 2,Cow,11,./assets/pages/page-011.png
sonny_png_library/regulars/animal-collections/animal-series-ver-2/11__reindeer__page-011.png,regulars,animal-collections,Animal Series Ver. 2,Reindeer,11,./assets/pages/page-011.png
sonny_png_library/regulars/animal-collections/animal-series-ver-2/12__pig__page-011.png,regulars,animal-collections,Animal Series Ver. 2,Pig,11,./assets/pages/page-011.png
sonny_png_library/regulars/animal-collections/animal-series-ver-2/13__kappa__page-011.png,regulars,animal-collections,Animal Series Ver. 2,Kappa,11,./assets/pages/page-011.png
sonny_png_library/regulars/animal-collections/animal-series-ver-2/14__robby-angel__page-011.png,regulars,animal-collections,Animal Series Ver. 2,Robby Angel,11,./assets/pages/page-011.png
sonny_png_library/regulars/animal-collections/animal-series-ver-3/01__parrot__page-012.png,regulars,animal-collections,Animal Series Ver. 3,Parrot,12,./assets/pages/page-012.png
sonny_png_library/regulars/animal-collections/animal-series-ver-3/02__rhinoceros__page-012.png,regulars,animal-collections,Animal Series Ver. 3,Rhinoceros,12,./assets/pages/page-012.png
sonny_png_library/regulars/animal-collections/animal-series-ver-3/03__chihuahua__page-012.png,regulars,animal-collections,Animal Series Ver. 3,Chihuahua,12,./assets/pages/page-012.png
sonny_png_library/regulars/animal-collections/animal-series-ver-3/04__crocodile__page-012.png,regulars,animal-collections,Animal Series Ver. 3,Crocodile,12,./assets/pages/page-012.png
sonny_png_library/regulars/animal-collections/animal-series-ver-3/05__french-bulldog__page-012.png,regulars,animal-collections,Animal Series Ver. 3,French Bulldog,12,./assets/pages/page-012.png
sonny_png_library/regulars/animal-collections/animal-series-ver-3/06__giraffe__page-012.png,regulars,animal-collections,Animal Series Ver. 3,Giraffe,12,./assets/pages/page-012.png
sonny_png_library/regulars/animal-collections/animal-series-ver-3/07__snake__page-012.png,regulars,animal-collections,Animal Series Ver. 3,Snake,12,./assets/pages/page-012.png
sonny_png_library/regulars/animal-collections/animal-series-ver-3/08__toy-poodle__page-012.png,regulars,animal-collections,Animal Series Ver. 3,Toy Poodle,12,./assets/pages/page-012.png
sonny_png_library/regulars/animal-collections/animal-series-ver-3/09__zebra__page-012.png,regulars,animal-collections,Animal Series Ver. 3,Zebra,12,./assets/pages/page-012.png
sonny_png_library/regulars/animal-collections/animal-series-ver-3/10__american-shorthair__page-012.png,regulars,animal-collections,Animal Series Ver. 3,American Shorthair,12,./assets/pages/page-012.png
