output_path,top_folder,collection_folder,series,name,image_url,page_url
sonny_png_library_web/regulars/cafe-collections/snack-series/02__sandwich.png,regulars,cafe-collections,Snack Series,Sandwich,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Sandwich.png,https://www.sonnyangel.com/products/
sonny_png_library_web/regulars/cafe-collections/snack-series/05__mustard.png,regulars,cafe-collections,Snack Series,Mustard,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Mustard.png,https://www.sonnyangel.com/products/
sonny_png_library_web/regulars/cafe-collections/snack-series/03__french-fries.png,regulars,cafe-collections,Snack Series,French Fries,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/French_Fries.png,https://www.sonnyangel.com/products/
sonny_png_library_web/regulars/cafe-collections/snack-series/08__sugar.png,regulars,cafe-collections,Snack Series,Sugar,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Sugar.png,https://www.sonnyangel.com/products/
sonny_png_library_web/regulars/cafe-collections/snack-series/07__coffee.png,regulars,cafe-collections,Snack Series,Coffee,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Coffee.png,https://www.sonnyangel.com/products/
sonny_png_library_web/regulars/cafe-collections/snack-series/12__fried-chicken-sandwich.png,regulars,cafe-collections,Snack Series,Fried Chicken Sandwich,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/FriedChickenSandwich.png,https://www.sonnyangel.com/products/
sonny_png_library_web/regulars/cafe-collections/snack-series/01__hamburger.png,regulars,cafe-collections,Snack Series,Hamburger,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Hamburger-1.png,https://www.sonnyangel.com/products/
sonny_png_library_web/regulars/cafe-collections/snack-series/10__hot-dog.png,regulars,cafe-collections,Snack Series,Hot Dog,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/HotDog.png,https://www.sonnyangel.com/products/
sonny_png_library_web/regulars/cafe-collections/snack-series/09__donut.png,regulars,cafe-collections,Snack Series,Donut,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/Donut.png,https://www.sonnyangel.com/products/
sonny_png_library_web/regulars/cafe-collections/snack-series/11__fried-chicken.png,regulars,cafe-collections,Snack Series,Fried Chicken,https://www.sonnyangel.com/renewal/wp-content/uploads/2025/07/FriedChicken.png,https://www.sonnyangel.com/products/
